N;Name;Work;Scopus;Wos
133;Доронин Федор Александрович;Технологии и управление качеством в полиграфическом и упаковочном производстве (Заведующий кафедрой, к.н.), 1;57203091767;B-2266-2014
134;Дорошенко Виталий Владимирович;Сектор научной деятельности (Доцент, к.н.), 0.25;57193013629;ABB-5717-2020
135;Дуничкин Илья Владимирович;Центр проектной деятельности (Доцент, к.н.), 0.5;55537535900;I-9455-2014
136;Евдокимов Андрей Григорьевич;Технологии и управление качеством в полиграфическом и упаковочном производстве (Старший преподаватель), 0.5;57203091325;48783842
137;Евтихов Владимир Георгиевич;Прикладная информатика (Доцент, к.н.), 0.5;6506445866;
138;Егоров Дмитрий Евгеньевич;Физическое воспитание (Доцент, к.н.), 1;;0000-0003-1559-8212
139;Егорычева Элина Викторовна;Физическое воспитание (Доцент, к.н.), 1;56406380200;W-1099-2017
140;Еникеев Ильдар Хасанович;Математика (Профессор, д.н.), 1;6603661360;AAO-8389-202
141;Еремеева Жанна Владимировна;Металлургия (Профессор, д.н.), 0.5;6506655231;G-8336-2015
142;Еременко Ольга Викторовна;Экономика и организация (Ассистент), 0.5;57209134252;
143;Ермолаев Андрей Евгеньевич;Техника низких температур имени П.Л.Капицы (Доцент, к.н.), 1;57435652900;F-2942-2014
144;Ермолаев Борис Валерьевич;Физическое воспитание (Профессор, д.н.), 0.75;7003319284;GQZ-0717-2022
145;Ершов Денис Сергеевич;Стандартизация, метрология и сертификация (Доцент, к.н.), 0.5;57866408900;GQZ-5837-2022
146;Ершов Михаил Юрьевич;Машины и технологии литейного производства (Профессор, д.н.), 0.25;56496634500;
147;Ершова Вера Александровна;Экологическая безопасность технических систем (Доцент, к.н.), 0.5;36771249600;E-1664-2019
148;Есаков Алексей Евгеньевич;Наземные транспортные средства (Доцент, к.н.), 1;;AAW-3049-2021
149;Жиляева Ирина Александровна;Прикладная информатика (Доцент, к.н.), 0.5;57222478035;
150;Жихарев Александр Серафимович;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Доцент, к.н.), 0.25;7003631929;
151;Жихарева Елена Дмитриевна;Центр проектной деятельности (Старший преподаватель), 1;57345410500;
152;Журавлева Галина Николаевна;Инновационные материалы принтмедиаиндустрии (Старший преподаватель), 0.75;57195572288;AAU-5131-2020
